order_id,customer_id,order_date,product_category,product_name,quantity,price,discount,payment_method,order_status,sales_person,warehouse,region
ORD-10030,CUST-1907,2026-06-16,Diabetes Care,Insulin Pump,3,26379.77,3.4,Credit Card,Delivered,Vikram Patel,WH-Kolkata (East),East
ORD-10031,CUST-1276,2026-07-06,Diagnostic & Monitoring,Infrared Non-Contact Thermometer,2,42430.34,14.6,Debit Card,Processing,Sanjay Verma,WH-Kolkata (East),East
ORD-10032,CUST-1334,2025-10-11,Orthopedic & Mobility,TENS Physiotherapy Unit,5,37600.87,0.2,Debit Card,Cancelled,Ramesh Rao,WH-Kolkata (East),East
ORD-10033,CUST-1519,2025-05-29,Surgical & Critical Care,Anesthesia Workstation,3,43264.94,13.9,UPI,Shipped,Ramesh Rao,WH-Gurugram (North),North
ORD-10034,CUST-1640,2026-01-26,Diabetes Care,Insulin Pump,2,19632.69,2.4,UPI,Returned,Sanjay Verma,WH-Gurugram (North),North
ORD-10035,CUST-1444,2025-08-09,Diagnostic & Monitoring,Pulse Oximeter,5,6431.01,12.7,UPI,Shipped,Sanjay Verma,WH-Bengaluru (South),South
ORD-10036,CUST-1553,2026-04-23,Diabetes Care,Lancet Device,4,36200.96,11.5,Credit Card,Cancelled,Ramesh Rao,WH-Bhiwandi (West),West
ORD-10037,CUST-1544,2025-07-21,Diagnostic & Monitoring,Vascular Doppler,1,9963.95,14.9,UPI,Processing,Sanjay Verma,WH-Bengaluru (South),South
ORD-10038,CUST-1922,2026-05-24,Diagnostic & Monitoring,Single-Channel ECG Machine,1,2478.47,0.6,Credit Card,Delivered,Sanjay Verma,WH-Gurugram (North),North
ORD-10039,CUST-1397,2026-02-26,Home Healthcare,Electric Heating Pad,3,42169.85,0.6,Net Banking,Delivered,Sanjay Verma,WH-Gurugram (North),North
ORD-10040,CUST-1112,2026-06-14,Diagnostic & Monitoring,Pulse Oximeter,1,3343.91,0.4,Debit Card,Delivered,Vikram Patel,WH-Bengaluru (South),South
ORD-10041,CUST-1340,2025-05-25,Surgical & Critical Care,Surgical Electrocautery Unit,1,42628.79,14.5,COD,Delivered,Sanjay Verma,WH-Bhiwandi (West),West
ORD-10042,CUST-1540,2026-05-24,Surgical & Critical Care,Defibrillator & AED,4,35443.58,11.9,Debit Card,Delivered,Ramesh Rao,WH-Bengaluru (South),South
ORD-10043,CUST-1696,2025-07-05,Diagnostic & Monitoring,Fetal Doppler Heart Rate Monitor,4,21053.96,6.8,COD,Shipped,Anjali Nair,WH-Gurugram (North),North
ORD-10044,CUST-1645,2026-03-16,Diagnostic & Monitoring,Capnograph Monitor,5,1433.22,13.7,Net Banking,Shipped,Ramesh Rao,WH-Bhiwandi (West),West
ORD-10045,CUST-1950,2026-07-06,Diagnostic & Monitoring,Capnograph Monitor,4,21810.16,6.6,COD,Returned,Anjali Nair,WH-Kolkata (East),East
ORD-10046,CUST-1656,2025-08-22,Surgical & Critical Care,LED Surgical OT Light,5,35403.02,10.6,COD,Shipped,Ramesh Rao,WH-Bengaluru (South),South
ORD-10047,CUST-1366,2025-12-12,Diagnostic & Monitoring,Digital Blood Pressure Monitor,5,35188.45,1.8,UPI,Processing,Priya Sharma,WH-Bhiwandi (West),West
ORD-10048,CUST-1102,2026-02-14,Diabetes Care,Insulin Pen Injector,1,5157.28,13.5,Credit Card,Delivered,Vikram Patel,WH-Bhiwandi (West),West
ORD-10049,CUST-1050,2026-03-19,Infusion & Vascular,Volumetric Infusion Pump,3,33696.96,7.6,COD,Delivered,Anjali Nair,WH-Kolkata (East),East
ORD-10050,CUST-1942,2026-04-12,Sterilization & Lab,Digital Centrifuge Machine,5,31532.91,7.1,Net Banking,Shipped,Ramesh Rao,WH-Kolkata (East),East
ORD-10051,CUST-1074,2026-06-12,Sterilization & Lab,Ultrasound Cleaner,5,31807.23,2.6,Debit Card,Delivered,Vikram Patel,WH-Gurugram (North),North
ORD-10052,CUST-1048,2026-01-02,Surgical & Critical Care,Anesthesia Workstation,2,33714.66,12.8,Credit Card,Delivered,Priya Sharma,WH-Bhiwandi (West),West
ORD-10053,CUST-1021,2026-07-03,Diagnostic & Monitoring,Digital Spirometer,2,19057.23,14.2,COD,Processing,Vikram Patel,WH-Bhiwandi (West),West
ORD-10054,CUST-1470,2025-11-16,Infusion & Vascular,Dialysis Catheter,2,38288.31,10.0,Debit Card,Delivered,Sanjay Verma,WH-Bengaluru (South),South
ORD-10055,CUST-1332,2025-07-01,Infusion & Vascular,Central Venous Catheter Kit,3,37953.41,8.0,Credit Card,Cancelled,Anjali Nair,WH-Bhiwandi (West),West
ORD-10056,CUST-1048,2026-05-21,Respiratory Care,BiPAP Machine,2,31875.8,13.8,Credit Card,Processing,Sanjay Verma,WH-Kolkata (East),East
ORD-10057,CUST-1662,2026-06-24,Home Healthcare,Digital Vein Finder,2,38772.8,4.9,COD,Delivered,Anjali Nair,WH-Bhiwandi (West),West
ORD-10058,CUST-1807,2026-01-18,Diagnostic & Monitoring,Fetal Doppler Heart Rate Monitor,4,44004.29,5.8,Debit Card,Delivered,Ramesh Rao,WH-Gurugram (North),North
ORD-10059,CUST-1156,2026-05-13,Diagnostic & Monitoring,Multi-Para Patient Monitor,1,1438.1,14.0,Credit Card,Delivered,Anjali Nair,WH-Bengaluru (South),South
ORD-10060,CUST-1858,2026-02-21,Diagnostic & Monitoring,Vascular Doppler,1,21927.74,4.3,Credit Card,Returned,Anjali Nair,WH-Gurugram (North),North
ORD-10061,CUST-1131,2025-02-24,Surgical & Critical Care,Pulse Generator Pacemaker,3,15868.15,3.9,UPI,Processing,Anjali Nair,WH-Bhiwandi (West),West
ORD-10062,CUST-1752,2026-05-16,Diagnostic & Monitoring,Continuous Glucose Monitor (CGM),4,33173.89,7.8,Net Banking,Processing,Vikram Patel,WH-Bhiwandi (West),West
ORD-10063,CUST-1485,2026-03-31,Surgical & Critical Care,Defibrillator & AED,1,18071.56,8.9,UPI,Delivered,Priya Sharma,WH-Bengaluru (South),South
ORD-10064,CUST-1095,2026-05-25,Respiratory Care,Auto CPAP Machine,2,17236.47,14.5,COD,Delivered,Ramesh Rao,WH-Gurugram (North),North
ORD-10065,CUST-1595,2026-02-10,Sterilization & Lab,UV Sterilizer Box,3,3451.49,7.3,UPI,Delivered,Sanjay Verma,WH-Bengaluru (South),South
ORD-10066,CUST-1076,2025-02-06,Infusion & Vascular,Dialysis Catheter,4,24934.32,13.5,Net Banking,Delivered,Anjali Nair,WH-Bengaluru (South),South
ORD-10067,CUST-1527,2025-10-21,Infusion & Vascular,Syringe Driver Pump,3,36304.56,3.0,UPI,Delivered,Sanjay Verma,WH-Bhiwandi (West),West
ORD-10068,CUST-1343,2026-07-20,Diagnostic & Monitoring,Single-Channel ECG Machine,3,11784.44,8.8,UPI,Delivered,Anjali Nair,WH-Bengaluru (South),South
ORD-10069,CUST-1214,2026-07-22,Respiratory Care,Portable Oxygen Concentrator (5L),4,17831.2,5.4,Credit Card,Cancelled,Vikram Patel,WH-Bhiwandi (West),West
ORD-10070,CUST-1313,2025-01-22,Diagnostic & Monitoring,Digital Otoscope,3,10007.04,6.9,UPI,Cancelled,Priya Sharma,WH-Gurugram (North),North
ORD-10071,CUST-1299,2025-09-03,Orthopedic & Mobility,Cervical Traction Unit,4,6211.42,10.2,Debit Card,Shipped,Anjali Nair,WH-Bengaluru (South),South
ORD-10072,CUST-1825,2025-10-25,Infusion & Vascular,Central Venous Catheter Kit,2,36391.99,0.8,Debit Card,Processing,Ramesh Rao,WH-Bengaluru (South),South
ORD-10073,CUST-1100,2026-03-07,Respiratory Care,BiPAP Machine,5,23534.23,1.6,UPI,Processing,Vikram Patel,WH-Kolkata (East),East
ORD-10074,CUST-1814,2026-05-15,Sterilization & Lab,UV Sterilizer Box,5,17885.93,12.3,Debit Card,Delivered,Sanjay Verma,WH-Bhiwandi (West),West
ORD-10075,CUST-1038,2026-06-08,Diabetes Care,Insulin Pump,3,24891.1,9.1,COD,Cancelled,Vikram Patel,WH-Kolkata (East),East
ORD-10076,CUST-1110,2026-07-05,Diabetes Care,Blood Glucose Meter Kit,2,6251.89,14.5,Debit Card,Shipped,Priya Sharma,WH-Bengaluru (South),South
ORD-10077,CUST-1616,2026-06-22,Respiratory Care,Incentive Spirometer,3,21164.83,3.0,UPI,Delivered,Ramesh Rao,WH-Bhiwandi (West),West
ORD-10078,CUST-1930,2026-04-09,Diabetes Care,Insulin Pump,5,29434.02,2.5,Credit Card,Shipped,Sanjay Verma,WH-Bengaluru (South),South
ORD-10079,CUST-1141,2025-01-12,Sterilization & Lab,Ultrasound Cleaner,5,14185.43,4.8,Debit Card,Returned,Anjali Nair,WH-Gurugram (North),North
ORD-10080,CUST-1989,2025-01-28,Home Healthcare,Digital Vein Finder,5,3131.53,5.3,Credit Card,Returned,Priya Sharma,WH-Kolkata (East),East
ORD-10081,CUST-1247,2026-03-12,Infusion & Vascular,Syringe Driver Pump,3,36994.57,7.6,COD,Delivered,Sanjay Verma,WH-Kolkata (East),East
ORD-10082,CUST-1092,2026-04-06,Diabetes Care,Blood Glucose Meter Kit,1,9900.31,11.6,Debit Card,Processing,Vikram Patel,WH-Bengaluru (South),South
ORD-10083,CUST-1645,2026-07-12,Diagnostic & Monitoring,Digital Spirometer,5,35351.74,5.5,Debit Card,Delivered,Vikram Patel,WH-Kolkata (East),East
ORD-10084,CUST-1303,2026-01-23,Respiratory Care,High-Flow Nasal Cannula System,4,15865.44,14.3,Debit Card,Returned,Vikram Patel,WH-Gurugram (North),North
ORD-10085,CUST-1196,2024-10-19,Surgical & Critical Care,Laryngoscope Set,3,28628.29,11.2,UPI,Cancelled,Ramesh Rao,WH-Kolkata (East),East
ORD-10086,CUST-1260,2026-07-16,Diabetes Care,Blood Glucose Meter Kit,5,16114.65,6.1,Net Banking,Shipped,Vikram Patel,WH-Gurugram (North),North
ORD-10087,CUST-1330,2025-04-17,Diagnostic & Monitoring,Vascular Doppler,1,27441.25,3.9,Net Banking,Delivered,Vikram Patel,WH-Kolkata (East),East
ORD-10088,CUST-1378,2026-07-04,Diagnostic & Monitoring,Infrared Non-Contact Thermometer,5,42185.46,5.2,COD,Delivered,Anjali Nair,WH-Gurugram (North),North
ORD-10089,CUST-1442,2025-02-01,Diagnostic & Monitoring,Multi-Para Patient Monitor,5,25759.43,1.5,COD,Cancelled,Vikram Patel,WH-Kolkata (East),East
ORD-10090,CUST-1169,2026-02-12,Infusion & Vascular,Volumetric Infusion Pump,3,18066.88,4.8,UPI,Delivered,Ramesh Rao,WH-Bengaluru (South),South
ORD-10091,CUST-1550,2026-05-04,Diagnostic & Monitoring,Single-Channel ECG Machine,2,29590.31,5.0,Debit Card,Delivered,Priya Sharma,WH-Kolkata (East),East
ORD-10092,CUST-1155,2026-05-02,Surgical & Critical Care,Defibrillator & AED,1,36450.99,10.9,Net Banking,Processing,Sanjay Verma,WH-Kolkata (East),East
ORD-10093,CUST-1793,2026-07-22,Home Healthcare,Peak Flow Meter,3,36774.96,2.6,UPI,Cancelled,Anjali Nair,WH-Gurugram (North),North
ORD-10094,CUST-1887,2025-02-28,Diagnostic & Monitoring,Pulse Oximeter,5,8923.76,2.2,COD,Delivered,Anjali Nair,WH-Bhiwandi (West),West
ORD-10095,CUST-1834,2026-05-24,Diagnostic & Monitoring,Capnograph Monitor,2,12945.97,7.1,Credit Card,Returned,Vikram Patel,WH-Bengaluru (South),South
ORD-10096,CUST-1339,2026-06-28,Orthopedic & Mobility,TENS Physiotherapy Unit,4,6221.43,12.8,Net Banking,Processing,Priya Sharma,WH-Kolkata (East),East
ORD-10097,CUST-1072,2026-07-22,Surgical & Critical Care,Surgical Electrocautery Unit,2,17232.63,7.8,Credit Card,Shipped,Vikram Patel,WH-Bengaluru (South),South
ORD-10098,CUST-1436,2026-06-15,Diabetes Care,Insulin Pump,1,2292.04,3.5,Net Banking,Processing,Sanjay Verma,WH-Gurugram (North),North
ORD-10099,CUST-1782,2025-11-21,Infusion & Vascular,Central Venous Catheter Kit,3,675.09,1.8,COD,Cancelled,Priya Sharma,WH-Bengaluru (South),South
ORD-10100,CUST-1366,2025-09-22,Respiratory Care,High-Flow Nasal Cannula System,2,4226.21,0.6,Debit Card,Processing,Priya Sharma,WH-Bhiwandi (West),West
ORD-10101,CUST-1005,2026-01-23,Diagnostic & Monitoring,Infrared Non-Contact Thermometer,2,2686.76,5.3,Credit Card,Processing,Vikram Patel,WH-Bengaluru (South),South
ORD-10102,CUST-1150,2026-03-27,Diabetes Care,Insulin Pen Injector,5,26225.15,11.0,Debit Card,Shipped,Sanjay Verma,WH-Bengaluru (South),South
ORD-10103,CUST-1251,2026-02-25,Diagnostic & Monitoring,Pulse Oximeter,1,16859.26,12.7,Net Banking,Processing,Vikram Patel,WH-Bhiwandi (West),West
ORD-10104,CUST-1515,2026-01-08,Sterilization & Lab,Tabletop Steam Autoclave,5,14451.24,7.9,UPI,Processing,Ramesh Rao,WH-Kolkata (East),East
ORD-10105,CUST-1455,2026-07-21,Surgical & Critical Care,Anesthesia Workstation,1,35860.14,2.9,UPI,Processing,Sanjay Verma,WH-Kolkata (East),East
ORD-10106,CUST-1305,2026-06-07,Respiratory Care,Portable Oxygen Concentrator (5L),5,25954.41,1.4,Debit Card,Delivered,Vikram Patel,WH-Gurugram (North),North
ORD-10107,CUST-1675,2026-05-16,Surgical & Critical Care,Pulse Generator Pacemaker,2,5383.95,5.3,Debit Card,Returned,Anjali Nair,WH-Bhiwandi (West),West
ORD-10108,CUST-1311,2025-05-05,Orthopedic & Mobility,Cervical Traction Unit,1,36838.34,6.9,Net Banking,Delivered,Ramesh Rao,WH-Bengaluru (South),South
ORD-10109,CUST-1681,2026-01-11,Respiratory Care,Suction Machine,5,24956.72,14.5,UPI,Delivered,Ramesh Rao,WH-Bengaluru (South),South
ORD-10110,CUST-1618,2025-10-21,Diabetes Care,Insulin Pump,5,15924.98,12.6,COD,Cancelled,Anjali Nair,WH-Bengaluru (South),South
ORD-10111,CUST-1135,2026-04-24,Diagnostic & Monitoring,Vascular Doppler,5,5162.67,2.9,COD,Cancelled,Priya Sharma,WH-Bengaluru (South),South
ORD-10112,CUST-1396,2026-07-21,Sterilization & Lab,Digital Centrifuge Machine,1,14096.05,10.1,Credit Card,Delivered,Sanjay Verma,WH-Gurugram (North),North
ORD-10113,CUST-1411,2026-04-30,Surgical & Critical Care,Laryngoscope Set,4,44450.37,2.1,Credit Card,Delivered,Ramesh Rao,WH-Bengaluru (South),South
ORD-10114,CUST-1820,2025-12-13,Respiratory Care,Mesh Nebulizer,3,24996.66,3.6,Debit Card,Shipped,Vikram Patel,WH-Bhiwandi (West),West
ORD-10115,CUST-1913,2026-07-15,Surgical & Critical Care,Laryngoscope Set,1,5027.16,3.8,Net Banking,Delivered,Sanjay Verma,WH-Bengaluru (South),South
ORD-10116,CUST-1132,2026-05-26,Sterilization & Lab,Tabletop Steam Autoclave,3,33152.76,1.8,Net Banking,Delivered,Anjali Nair,WH-Bhiwandi (West),West
ORD-10117,CUST-1006,2026-02-22,Infusion & Vascular,Dialysis Catheter,1,11598.83,7.4,UPI,Shipped,Vikram Patel,WH-Gurugram (North),North
ORD-10118,CUST-1183,2025-10-09,Surgical & Critical Care,LED Surgical OT Light,5,14252.59,3.0,Net Banking,Delivered,Ramesh Rao,WH-Bhiwandi (West),West
ORD-10119,CUST-1575,2025-07-27,Surgical & Critical Care,Defibrillator & AED,2,6219.27,2.2,Net Banking,Returned,Ramesh Rao,WH-Bengaluru (South),South
ORD-10120,CUST-1295,2026-04-14,Infusion & Vascular,Dialysis Catheter,4,44288.87,4.5,COD,Cancelled,Vikram Patel,WH-Bhiwandi (West),West
ORD-10121,CUST-1503,2026-07-10,Respiratory Care,Portable Oxygen Concentrator (5L),5,19435.44,0.8,Debit Card,Delivered,Anjali Nair,WH-Bengaluru (South),South
ORD-10122,CUST-1364,2026-06-18,Infusion & Vascular,Volumetric Infusion Pump,2,3410.35,11.5,Net Banking,Returned,Priya Sharma,WH-Bengaluru (South),South
ORD-10123,CUST-1920,2026-05-19,Respiratory Care,Mesh Nebulizer,1,14807.63,8.9,Net Banking,Delivered,Ramesh Rao,WH-Bhiwandi (West),West
ORD-10124,CUST-1518,2026-07-14,Surgical & Critical Care,Defibrillator & AED,2,10200.97,8.3,Net Banking,Delivered,Vikram Patel,WH-Bengaluru (South),South
ORD-10125,CUST-1955,2026-06-14,Orthopedic & Mobility,Folding Lightweight Wheelchair,3,29241.11,7.2,Debit Card,Processing,Sanjay Verma,WH-Gurugram (North),North
ORD-10126,CUST-1769,2025-05-30,Surgical & Critical Care,Pulse Generator Pacemaker,2,21287.4,9.7,Net Banking,Delivered,Ramesh Rao,WH-Bhiwandi (West),West
ORD-10127,CUST-1985,2025-11-21,Respiratory Care,Incentive Spirometer,4,29370.86,2.7,UPI,Shipped,Priya Sharma,WH-Gurugram (North),North
ORD-10128,CUST-1710,2026-01-06,Diagnostic & Monitoring,Single-Channel ECG Machine,1,36444.19,5.7,Net Banking,Delivered,Ramesh Rao,WH-Kolkata (East),East
ORD-10129,CUST-1449,2026-06-19,Sterilization & Lab,UV Sterilizer Box,2,10492.33,13.7,Credit Card,Shipped,Vikram Patel,WH-Bengaluru (South),South
ORD-10130,CUST-1970,2026-01-29,Home Healthcare,Digital Vein Finder,3,37793.76,0.8,UPI,Processing,Vikram Patel,WH-Bhiwandi (West),West
ORD-10131,CUST-1839,2026-05-12,Orthopedic & Mobility,Walking Frame with Castors,5,23247.43,11.0,Net Banking,Cancelled,Sanjay Verma,WH-Gurugram (North),North
ORD-10132,CUST-1338,2026-07-21,Surgical & Critical Care,Surgical Electrocautery Unit,1,24110.99,8.9,Credit Card,Cancelled,Anjali Nair,WH-Bhiwandi (West),West
ORD-10133,CUST-1886,2026-01-10,Home Healthcare,Peak Flow Meter,3,22814.1,8.5,Debit Card,Returned,Sanjay Verma,WH-Bengaluru (South),South
ORD-10134,CUST-1265,2026-05-28,Diabetes Care,Insulin Pump,3,7752.68,11.9,Credit Card,Delivered,Ramesh Rao,WH-Bhiwandi (West),West
ORD-10135,CUST-1606,2025-05-27,Surgical & Critical Care,Laryngoscope Set,3,26753.88,4.7,Credit Card,Cancelled,Sanjay Verma,WH-Bengaluru (South),South
ORD-10136,CUST-1097,2026-06-24,Diagnostic & Monitoring,Stethoscope (Cardiology Grade),1,16525.82,10.4,Credit Card,Delivered,Priya Sharma,WH-Kolkata (East),East
ORD-10137,CUST-1809,2025-09-18,Diabetes Care,Lancet Device,3,20986.55,13.7,Net Banking,Returned,Ramesh Rao,WH-Kolkata (East),East
ORD-10138,CUST-1312,2025-08-20,Orthopedic & Mobility,Walking Frame with Castors,1,16802.36,11.0,Debit Card,Delivered,Ramesh Rao,WH-Bhiwandi (West),West
ORD-10139,CUST-1349,2026-05-17,Sterilization & Lab,Ultrasound Cleaner,2,8240.66,8.3,UPI,Returned,Priya Sharma,WH-Kolkata (East),East
ORD-10140,CUST-1939,2026-07-16,Surgical & Critical Care,Laryngoscope Set,1,7967.49,1.1,COD,Cancelled,Vikram Patel,WH-Kolkata (East),East
ORD-10141,CUST-1062,2025-12-04,Diabetes Care,Lancet Device,1,31113.61,8.4,UPI,Returned,Vikram Patel,WH-Bengaluru (South),South
ORD-10142,CUST-1944,2026-06-03,Orthopedic & Mobility,Motorized Wheelchair,1,2550.33,9.9,Debit Card,Returned,Anjali Nair,WH-Bengaluru (South),South
ORD-10143,CUST-1351,2025-11-02,Infusion & Vascular,Central Venous Catheter Kit,5,1624.73,11.9,Credit Card,Returned,Anjali Nair,WH-Gurugram (North),North
ORD-10144,CUST-1748,2026-04-10,Respiratory Care,Auto CPAP Machine,5,9920.13,13.6,UPI,Returned,Sanjay Verma,WH-Bhiwandi (West),West
ORD-10145,CUST-1023,2025-04-29,Orthopedic & Mobility,Air Mattress for Bedsores,2,34567.15,8.8,Net Banking,Cancelled,Sanjay Verma,WH-Bengaluru (South),South
ORD-10146,CUST-1088,2026-07-16,Diabetes Care,Blood Glucose Meter Kit,3,29442.86,8.3,COD,Shipped,Anjali Nair,WH-Kolkata (East),East
ORD-10147,CUST-1725,2026-03-25,Diagnostic & Monitoring,Infrared Non-Contact Thermometer,1,38497.3,3.4,COD,Shipped,Ramesh Rao,WH-Gurugram (North),North
ORD-10148,CUST-1009,2025-10-15,Orthopedic & Mobility,Cervical Traction Unit,4,32189.47,2.5,COD,Processing,Priya Sharma,WH-Bhiwandi (West),West
ORD-10149,CUST-1079,2025-10-10,Diagnostic & Monitoring,Fetal Doppler Heart Rate Monitor,5,36516.98,2.5,Net Banking,Delivered,Ramesh Rao,WH-Gurugram (North),North
ORD-10150,CUST-1933,2026-07-15,Diagnostic & Monitoring,Digital Otoscope,3,21736.6,6.7,Net Banking,Shipped,Priya Sharma,WH-Gurugram (North),North
ORD-10151,CUST-1408,2025-08-23,Diabetes Care,Blood Glucose Meter Kit,1,22028.4,8.2,UPI,Returned,Ramesh Rao,WH-Kolkata (East),East
ORD-10152,CUST-1827,2026-06-06,Orthopedic & Mobility,Folding Lightweight Wheelchair,1,12460.21,2.3,Debit Card,Cancelled,Ramesh Rao,WH-Bengaluru (South),South
ORD-10153,CUST-1562,2026-05-11,Orthopedic & Mobility,Folding Lightweight Wheelchair,2,30710.92,4.0,Net Banking,Returned,Sanjay Verma,WH-Gurugram (North),North
ORD-10154,CUST-1310,2025-07-29,Surgical & Critical Care,Pulse Generator Pacemaker,2,25678.83,14.7,Debit Card,Delivered,Priya Sharma,WH-Bengaluru (South),South
ORD-10155,CUST-1060,2025-09-12,Surgical & Critical Care,Electric Suction Apparatus,3,27503.17,0.1,Net Banking,Processing,Anjali Nair,WH-Gurugram (North),North
ORD-10156,CUST-1052,2025-07-05,Diabetes Care,Insulin Pen Injector,4,35905.6,1.5,Debit Card,Delivered,Priya Sharma,WH-Bengaluru (South),South
ORD-10157,CUST-1689,2026-01-27,Orthopedic & Mobility,Cervical Traction Unit,1,38416.83,13.2,COD,Delivered,Vikram Patel,WH-Gurugram (North),North
ORD-10158,CUST-1332,2025-09-18,Surgical & Critical Care,Surgical Electrocautery Unit,2,12232.85,2.6,Debit Card,Delivered,Sanjay Verma,WH-Bhiwandi (West),West
ORD-10159,CUST-1307,2026-07-21,Respiratory Care,Suction Machine,5,26525.98,3.8,COD,Delivered,Vikram Patel,WH-Bhiwandi (West),West
ORD-10160,CUST-1743,2026-06-16,Diagnostic & Monitoring,Pulse Oximeter,2,21912.87,10.3,UPI,Delivered,Anjali Nair,WH-Kolkata (East),East
